Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,TotalPop
2746,3471,3542,3280,7476,55036
10031,10706,11375,11374,25367,203360
1071,1736,1917,1844,3195,26201
1137,1419,1627,1625,2960,22580
3224,3225,3299,3401,7131,57667
454,686,755,422,1607,10478
1001,1119,1216,1206,2450,20126
6192,7981,7917,7021,13983,115527
1453,2296,2075,1862,3895,33895
1278,1312,1352,1177,2974,25855
2143,2669,2816,2802,5805,43805
691,710,641,659,1480,13188
1314,1628,1306,1301,2948,24625
710,713,716,635,1647,13407
669,787,804,818,1890,14939
2655,3025,3261,3179,6672,51073
2596,3217,3395,3122,6459,54435
576,770,611,559,1381,12649
490,688,445,609,1397,10955
1672,2181,2103,2131,4170,37519
804,731,817,686,1725,13866
3860,4892,5248,4772,10153,81703
2571,3314,3626,3537,5895,49393
2220,2733,2468,2294,4482,40755
3671,4313,4270,4296,9105,71194
4101,5552,5401,5542,11237,80989
1942,2367,2366,2417,4860,37621
5106,6546,6033,5854,13292,103132
870,950,909,917,1947,16657
1604,2259,1801,2003,4028,31507
1349,1433,1492,1465,3258,26572
316,535,506,496,753,8533
931,908,844,806,1606,14995
776,1073,784,815,2201,17110
5076,6201,6858,6713,13031,104108
2554,2912,2913,2835,6570,52326
33372,43822,48650,46208,83485,659460
630,711,729,772,1568,14021
4875,8008,5519,5278,10318,92590
1529,1947,2041,1911,4044,33288
11626,22538,12059,10395,18921,156597
4727,5251,5565,6357,12518,91695
370,716,672,593,1080,10362
1761,2264,1143,907,1833,19358
18894,24839,24998,23587,43015,353213
1215,1050,1235,1048,2262,19743
1352,1643,1727,1530,3638,30058
4924,5737,5962,5641,11831,94738
21955,29120,29830,26662,49629,414328
1087,1347,1113,1092,2449,21745
12559,17496,17284,15722,28534,227120
5830,6968,7324,7307,15232,119157
941,1002,220,412,1143,9680
1087,1226,1292,1247,2302,20170
2568,5273,2709,1680,3412,33287
1231,1294,1081,1153,2806,22530
2764,4028,4862,4319,7278,58480
3673,5083,5327,5773,11645,86937
10830,11999,12629,13850,29867,208721
1053,1491,947,527,1268,13084
3915,5292,5089,4824,10291,80888
2060,2341,2142,2158,4452,40756
16816,23929,16650,13152,24238,204424
3107,3827,3967,3597,7747,64927
1049,899,771,1078,1801,16746
622,696,624,567,1239,10919
1104,1224,1280,1316,2758,23968
123,269,244,234,482,3338
241,504,533,501,894,5784
14330,25089,27283,24367,38243,298225
1201,1421,1471,1217,1950,17957
42,48,48,49,127,917
115,318,154,163,281,2303
320,405,384,329,551,4974
5183,11069,10255,8082,12083,100031
106,105,172,171,255,2537
64,116,94,100,234,2146
1590,2218,2423,2312,4415,32434
2876,3325,3588,3596,6848,57961
564,885,921,917,1687,13745
750,764,1357,1163,1760,13773
618,692,764,501,727,8129
75,123,102,97,146,1301
5481,6550,6847,7242,13303,101135
650,759,836,672,1097,9869
474,587,749,955,1116,9757
522,683,660,534,801,7715
156,273,137,170,396,3275
315,333,413,376,729,6473
484,454,636,631,1218,8810
45,50,50,130,175,1038
358,383,535,408,810,6889
320,659,730,566,1095,9439
116,87,136,140,202,2475
25,43,54,38,100,682
309,346,380,359,580,5453
4999,4935,4594,4008,7761,71602
6175,7688,8371,8023,13531,126516
13761,17762,10169,8560,15014,138639
2068,2714,2602,2451,4521,53145
2284,2916,2963,2711,4763,37700
551,626,670,680,1185,9368
955,992,710,855,1521,20477
224902,285123,305479,290772,547697,4155501
8503,9775,10495,9811,18987,204691
6400,6697,6723,6090,11469,107902
56495,90677,63250,61617,114537,1007257
20163,22775,25704,27873,53906,405537
3164,3094,2456,2360,5116,46358
9279,10175,10119,9977,19521,220972
11970,17548,14708,13013,22183,204281
1067,958,1046,1162,2181,18352
948,1308,1040,1071,2513,20771
1494,1635,2066,1897,3801,41093
13440,14643,17464,19398,35598,251823
1734,2064,2187,2049,4368,37212
594,505,641,616,1275,10994
236,345,298,231,588,5194
1229,1462,1353,1477,2972,27782
665,474,626,607,1207,11008
2342,3205,1200,924,2443,22495
686,866,798,774,1770,15190
1121,1182,1159,1313,2673,25361
563,429,372,462,1009,8332
2209,2586,1357,1280,2593,23992
836,1182,1299,1223,2369,20954
6298,8379,8631,7139,13571,104246
3088,3590,3900,3775,7956,62119
2663,3299,3341,3118,5947,49278
1046,991,847,940,2225,17164
352,390,452,309,852,7585
787,657,627,612,1350,12094
1547,1881,963,1164,1947,18620
8352,13723,9071,8232,15392,121282
942,1082,965,1021,2063,17803
535,577,510,563,1203,12092
4375,5248,5722,5261,10961,97994
984,1003,1117,1034,2282,18076
2313,2958,2954,2748,5858,44197
1145,1422,1175,1150,2609,22154
1367,2073,2276,2177,3893,33480
734,623,731,858,1571,13472
2037,2193,2183,2283,4512,37097
557,646,671,666,1478,13521
704,1133,1190,1381,2100,17429
3863,5222,4752,4396,8185,71373
1444,1746,1594,1484,3336,26155
372,367,381,391,680,7051
926,1150,907,913,1904,16777
381,766,708,619,1289,9614
494,946,1274,1130,2111,13885
445,623,723,726,1667,12494
1037,1234,1179,1115,2612,21802
3758,4153,5070,5287,9831,71568
921,864,846,863,1744,15907
589,679,746,716,1470,16374
2185,2646,3014,2902,5401,43760
2617,2956,2924,2720,5161,43534
365,523,332,230,857,7420
365,379,347,415,892,9059
420,486,390,446,870,8528
375,336,372,377,814,7898
1180,1379,1308,1205,2775,24378
461,589,528,534,1169,10320
1057,1408,1096,941,2070,19518
552,572,652,555,1354,10893
1145,1522,1600,1287,2924,24098
1015,984,1119,1058,2142,20212
4483,6028,4438,3926,6896,63372
351,460,425,418,880,8309
18511,26880,30296,28801,50265,392848
744,933,1083,972,2009,17514
1210,1717,1859,2015,3815,26688
5862,6002,7190,7778,16299,116252
581,604,613,539,1132,10584
272,386,461,372,832,7925
6769,8732,8606,8052,15901,127362
996,1155,1072,959,2221,17206
736,757,815,754,1674,17041
494,649,570,527,1239,12443
1743,2305,2285,2703,4681,40022
677,774,803,853,1719,16751
15178,23685,17487,16682,29046,223683
4872,6575,5164,4904,9006,78706
263,364,380,274,760,6763
1191,1153,1224,1134,2697,21601
76292,106023,131990,133457,241616,1629615
109,75,48,49,115,1203
1633,1694,1645,1791,4055,37306
13094,25957,14754,13264,23484,225207
1922,2069,2009,1976,4086,45057
1262,1397,1443,1421,2475,21479
57007,68511,69220,72573,150696,1123678
1133,1631,1895,2102,3482,27442
9246,10032,8917,9407,20477,185015
56709,76074,76941,69224,118927,971616
1644,1803,1730,1687,3335,27935
7645,12968,9164,9208,16636,135490
10659,14522,13144,12471,21822,179957
814,864,969,1084,1966,18195
52584,69839,69584,64021,110020,878744
8434,12980,13063,11839,20582,150183
2960,3206,3582,3455,6598,64095
1179,3336,3221,2937,4458,31470
543922,756629,831276,762619,1397855,10105722
9449,11166,10750,10501,19412,154440
10406,11573,10700,12496,32861,260814
632,817,913,932,1618,17658
4419,4802,4783,5306,10101,87497
18658,21320,19912,18256,32665,267390
435,219,520,526,922,9017
491,1392,488,1624,1532,14058
24661,32631,31957,31862,56050,433168
7485,9180,8459,8880,17897,141005
4471,4432,4526,5200,10687,98838
168512,223560,232813,215807,420655,3155816
18701,20348,19599,21862,47853,374985
757,805,784,868,1943,18724
141857,171312,164817,157343,300293,2355002
75776,102160,118091,111741,195153,1495400
3552,4062,3803,3899,7612,58671
129131,171907,163837,149013,272623,2121220
173100,266640,280963,253780,433395,3283665
25022,51375,101502,97230,137258,864263
43844,52081,50379,48836,93186,724153
19462,29960,15766,16661,29828,280119
31819,42350,52654,57519,110416,763450
32040,49723,30404,28422,50037,442996
91461,121220,147045,151422,282336,1911226
19750,27857,16910,16448,32049,273263
8973,10728,11111,10940,18977,178919
108,69,85,102,296,2885
1971,2066,2137,2268,4226,43530
21702,30528,32121,30277,53735,434981
23987,31205,32705,32737,61545,500943
30746,38470,39204,36880,67425,535684
5147,6318,6841,6171,11803,95583
2918,3712,3793,3528,7021,63247
734,385,461,608,1442,13037
29320,34565,32887,31706,56795,458809
2342,2766,3176,3200,5449,53899
46337,60289,56916,54402,106295,847834
17436,30479,15206,13687,24900,212605
3656,5642,6167,5567,9094,74644
24659,31589,38575,40393,71394,487850
1294,2038,1150,983,1775,16345
30413,39181,47013,48270,89282,626612
382,739,545,692,1213,12592
176,162,173,195,357,3581
154,273,661,590,802,5806
22055,33522,22361,20147,40656,316782
2767,3707,4820,4598,9686,64283
694,659,1198,1206,2055,18818
97,98,103,126,271,2127
442,399,438,476,1179,9257
434,451,484,418,805,8147
172,217,149,186,242,3628
295,653,504,472,747,5514
151,175,86,226,177,4505
1521,1275,1368,1522,3163,30217
25401,43009,77388,74477,106244,678467
10,60,87,119,154,1736
17481,15100,14562,19606,50540,320940
2361,3019,4524,4545,8652,53726
1281,1147,926,1078,2752,24553
37050,55971,54380,49599,84545,674826
1424,2140,3043,4022,6107,46601
3021,3314,3762,4246,8258,57945
131,193,255,391,910,5793
526,861,991,1082,1841,14793
1205,2130,1100,1274,2064,16215
33,7,28,25,60,820
165,210,249,373,556,6498
44,60,33,83,123,1372
26632,32819,39134,39876,73476,564029
90,46,85,80,105,1368
308,346,446,721,981,7846
405,564,748,389,1252,7481
3305,3467,3789,3756,7129,54469
20137,36162,24606,22327,39919,330976
753,781,894,753,1448,14151
187,319,393,473,840,5520
1574,1605,1404,1453,2479,21885
8167,9917,10004,9867,17270,148798
7,23,40,35,88,834
572,667,906,815,1734,13056
999,1446,1310,1296,2816,25770
1893,1892,1897,2343,4425,40908
1639,1704,1800,1840,3166,28123
1225,1055,966,1015,2131,18325
158,151,120,207,504,4653
637,556,637,842,1990,16900
214,223,293,289,446,4327
803,912,1383,1467,2281,17747
720,808,658,745,1359,12084
8597,10857,10306,10297,19078,163368
405,468,419,459,761,6557
658,668,712,640,1256,11430
1292,1321,1865,1942,3534,24359
290,235,246,278,665,6338
18,40,54,19,46,569
228,433,622,671,1192,7804
125,116,95,61,259,2357
1051,2077,2864,2536,4646,29722
1037,1053,984,1000,2544,23769
220,265,279,324,518,4809
16250,18933,20992,20910,38424,285729
426,587,617,788,1075,10109
53470,58822,52723,55942,120922,947328
47709,58500,58477,58234,109916,897417
8750,9816,9072,9165,20092,184454
8487,10188,8775,8866,18925,164110
49900,60592,58106,55391,102711,862127
13681,20600,18103,16457,30694,270772
13292,18955,7881,7710,16002,151596
6656,8376,7313,7024,14139,116674
9357,13266,12111,10880,20128,173145
30947,38598,41982,37721,68910,555036
8109,10887,11300,11247,21275,215551
31899,54873,81625,74765,95604,672391
20105,41785,22266,17557,27288,259865
1233,1993,1885,1731,3500,27537
8483,11579,13393,12308,21627,180117
1180,1389,2048,2008,3337,26775
25463,31489,31790,29997,58400,568183
89903,114806,127204,127613,253595,1890416
584,817,952,1019,1819,14458
5349,7074,6411,6113,13436,173236
5048,5857,5562,5358,11423,141373
11428,11917,12650,12203,26412,203291
14228,17593,17332,17440,35724,356774
3372,4719,4371,4262,8015,68484
1971,2182,2519,2412,4301,35675
724,603,904,883,1890,16323
42999,65337,78122,69526,115632,912043
18732,27257,23907,19945,33618,309924
4662,4800,4505,4763,10861,105015
281,770,886,935,1352,11675
1804,3052,2783,2718,5849,46113
1244,1401,909,858,1737,17191
593,700,740,789,1691,13197
795,917,1269,923,2215,16018
772,1164,1004,831,1748,14238
1532,1997,1944,1697,3349,27326
2376,2821,2691,2647,4918,39064
7563,8802,8902,8549,18049,179144
3951,4511,4698,4439,8853,100177
69508,92160,104942,97465,183243,1351087
835,1291,1269,1181,2370,19483
5532,7292,6823,6454,13593,147981
2180,3028,3296,3232,6834,48571
456,671,930,725,1980,14085
541,426,602,759,1306,8684
13504,16136,16834,16947,35678,326215
28664,35816,38377,37036,73365,700165
22437,48393,22713,18303,30466,285890
1600,2010,2010,2173,4135,39713
518,886,535,634,1202,8347
994,1018,1336,1120,2171,18518
15075,18255,19153,18570,37998,363542
13982,17691,18758,17343,33832,343778
6377,7137,7103,6880,14703,155719
127019,179954,196478,188883,382500,2702602
3085,3744,4688,4639,9823,76745
3604,4073,4274,4064,9515,78435
8465,14704,16911,14552,22857,197591
2357,2405,2567,2362,5046,40228
69736,107048,113682,99916,181293,1290216
18720,22460,23383,22991,46767,325168
63847,80506,85843,81921,165796,1426772
22700,25478,26276,27699,60584,498136
36155,49798,56525,54323,105015,949842
32114,40486,41750,39717,76911,652256
3196,4038,4066,3733,7335,72435
11541,11659,10728,11985,28954,226578
13920,16433,16745,16205,33704,298763
8367,10363,11067,11166,21689,166778
14124,17240,17047,16615,35503,404839
21746,29642,32904,31056,60461,449260
2310,2584,3176,3506,7557,116754
1801,3118,2634,2631,4916,43814
827,1569,1769,1593,2703,22350
637,827,1450,1134,2197,15300
23661,31869,30774,27060,54506,518660
1371,1703,2015,2239,4766,31586
2384,3074,3852,4136,7947,63457
1237,1501,1590,1573,3285,24472
1078,943,1044,1264,2015,18471
410,512,523,587,1010,8313
529,642,747,684,1557,11279
170,201,238,154,327,3251
3900,5770,2731,2514,4769,45527
891,1090,1005,1098,2368,18363
3806,4394,5384,5738,10752,75099
5687,6230,6870,6498,13766,102623
1121,845,977,971,2235,17272
975,1143,1165,1100,2417,19014
8914,11487,10942,9691,17980,153923
1275,1107,562,717,1403,12779
853,1135,1107,1015,2260,18411
921,701,916,842,1804,15629
2091,1912,2204,2426,5485,34883
8338,11615,5600,4446,7761,73742
1243,1447,1467,1321,2526,22645
998,1703,1685,1797,3205,23556
256,336,606,641,961,6503
2778,5450,4602,3519,5790,52252
647,575,689,582,1430,10894
8103,10512,7943,7115,14449,114898
3365,3858,3954,4065,8817,65870
598,1050,728,724,1996,12963
15426,23868,25809,21774,34544,285506
1165,2623,1541,886,1048,11096
1311,1536,1740,1377,3200,24880
12507,13375,13298,14570,34523,235896
13264,22792,11616,8839,13636,123554
120,198,165,142,258,3024
15781,20753,21778,19569,37862,274150
336,341,598,337,775,6788
39151,48810,53168,53373,108057,739072
2465,3350,2981,2890,5687,43048
2492,2822,3003,2955,5917,45890
8001,8472,9455,10226,20088,143723
969,1092,1041,1038,2175,17190
7457,8197,8047,8668,19343,138015
678,600,766,628,1457,12385
1239,1558,1171,1519,2489,23005
1163,1279,866,836,2101,16282
1143,1283,1339,1275,2913,23397
1410,1782,1677,1744,3237,27023
34055,48654,62131,60798,107921,736066
934,1443,1490,1258,2870,21063
878,854,684,846,1989,14053
5689,7572,6551,5855,10672,91522
8432,9062,8529,8912,20373,140152
564,655,584,482,1213,10405
260,108,206,235,678,4011
3157,3438,3523,3976,8224,57087
890,1232,1180,1001,2232,19288
1197,1375,1464,1437,2686,22502
457,525,825,707,1213,10757
965,1129,1094,1010,2488,24480
7014,6776,4457,4720,12420,110306
5587,6949,6111,5739,11973,96471
11929,9810,8591,12267,34775,211300
1253,1527,1343,1267,2473,22328
55310,74603,85443,81574,148042,1010420
1372,1486,1390,1671,3276,29614
203,141,139,107,401,3027
3858,5081,5176,5003,9660,83467
3170,3279,3854,3550,7543,56424
972,1442,1725,1555,2845,25048
605,765,748,1008,1626,16732
52028,57864,57685,61308,134305,889954
2493,3116,2519,2511,5446,43878
10610,12783,12886,12278,25144,192865
145,631,806,619,998,8667
1447,1672,1830,1685,3575,28722
1826,1882,1506,1613,4193,33198
1026,1621,1441,1508,2919,25535
580,719,638,576,1356,11607
14265,14012,12495,12813,31674,217506
7568,10309,11212,11018,19635,150341
575,556,557,531,1353,9278
3014,3223,4080,4006,9358,63851
593,741,748,764,1700,13732
918,621,967,960,1840,14999
735,1108,1002,968,1782,15954
399,787,401,391,1029,8929
422,642,530,486,1590,9800
1540,1612,1524,1695,3795,28540
1853,1482,911,969,2109,18282
492,662,890,940,1267,10388
2302,2955,2931,2914,5817,47451
1694,1528,1873,1840,4555,29216
3117,7279,7000,5019,6776,62120
387,395,436,337,846,7768
655,1553,1441,1421,2530,17857
7530,15370,9365,7766,12798,113941
2671,4031,1730,1594,3307,31567
1226,1144,1302,1215,2478,21488
547,797,664,726,1528,14061
715,985,982,742,1898,13675
1272,1816,1486,1751,3689,28600
458,336,591,365,1028,8558
1129,1179,1255,1146,2362,21152
283,316,363,291,693,5884
1180,1323,1573,1437,2929,22574
1534,1570,1443,1581,3279,26795
579,696,484,493,1162,8962
823,1117,755,856,1968,18013
1999,2566,2545,2364,5290,39444
11004,15761,17298,15154,24786,198647
6846,6739,6476,6300,14536,105042
2275,1849,1394,1848,5120,35972
631,711,908,795,2037,14654
8914,9396,9395,9970,23696,152399
2317,2304,1630,1656,2990,27027
1120,1528,1697,1681,3592,30343
925,982,1047,1201,2531,19141
1159,947,1005,1059,2346,17919
2501,2281,2888,2558,5151,41444
579,804,822,828,1540,11396
864,1012,1303,1208,2192,21430
58,87,87,137,214,2140
703,913,820,808,1849,16354
337,288,349,378,708,7206
11161,17439,18130,14454,23078,201568
5055,5987,5225,4956,11124,88482
313,376,273,375,524,5168
822,830,907,696,1678,14037
503,506,251,535,1024,8549
2957,4065,4147,4038,7858,64192
1456,1889,1343,1342,2683,25625
326,481,681,530,781,5832
1931,3071,1918,1850,3270,30687
372,332,249,146,798,6423
92,137,139,94,252,1844
1093,1882,2148,2166,3622,25402
514,520,424,369,981,8267
626,804,1314,1358,2564,16339
477,562,612,377,1052,8978
2079,2674,2758,2768,5312,44909
2578,3130,2719,2478,5037,40531
1513,1665,1652,1953,3054,27160
786,960,419,350,850,11173
252,424,517,397,781,6752
3872,5159,4676,4416,8433,69433
340,397,400,497,1121,8036
298,566,385,427,919,8323
838,799,835,1142,1938,22262
1324,1746,1551,1302,3213,26241
3356,3779,4044,4055,8609,68609
4636,5605,5065,5042,11526,88695
1779,2204,2535,2096,4532,35688
189,246,392,311,576,5410
977,1348,1320,1249,2498,20506
1578,1570,2012,2053,3867,29833
177,120,121,166,231,2627
443,895,617,484,1201,7952
1617,1700,1473,1334,2997,28509
6094,7177,7101,6732,13516,103963
447,512,641,587,1317,8896
643,519,461,543,976,9905
410,590,446,475,1071,9147
1072,1310,1178,1224,2284,20809
8715,10932,11596,12235,22678,196325
43973,75973,78991,72501,124490,990060
3,2,2,4,10,86
3045,3717,4212,4523,8622,71093
6652,8582,9913,11428,21603,164094
23471,27151,30963,31713,60803,435117
225,93,141,167,350,3946
5187,6323,6670,6134,10348,84113
336,284,318,325,664,5942
414,410,390,376,932,9050
2535,2732,2543,2854,5347,45369
1162,909,1010,1256,2779,21583
373,196,212,249,704,6968
1840,1767,1743,2111,4681,41855
6244,6785,7288,8073,13461,110404
631,534,451,590,1284,11323
176,67,115,116,340,2613
46,28,35,26,81,886
12763,13627,13534,13613,26616,207027
269,370,328,457,793,6862
1349,1503,1337,1436,2769,23472
106,48,64,107,100,1055
302,356,464,394,949,8533
227,173,106,150,443,4141
1234,2725,2303,1936,2772,26232
862,722,636,769,1649,13120
850,719,686,711,1613,12889
944,859,784,850,1563,16850
916,884,848,888,1718,15110
732,775,776,742,1498,16275
1838,1487,1615,1766,3475,27410
1295,1394,1522,1592,2711,23039
7293,8758,9306,9219,18307,150128
3855,7005,3016,2312,3685,38697
277,331,328,364,689,7755
182,168,152,186,339,3824
299,270,294,396,664,5296
3891,8746,4270,1873,2848,38241
1029,1398,1181,1146,2416,20448
1911,2722,2677,2393,4483,40014
272,278,74,210,472,4284
746,631,585,549,1373,11384
1139,1296,1269,1337,2578,22839
365,502,438,436,807,7667
620,637,665,548,1328,12490
443,582,552,829,1866,10776
4395,5213,5638,5813,9889,82248
386,286,432,321,1336,10104
459,416,543,467,991,9996
3227,4040,4119,3990,7493,66787
357,300,340,403,663,6776
986,1301,1057,986,2187,17034
3320,3158,2753,2982,6922,53638
265,566,618,576,1136,6791
1600,1889,1615,1906,3764,33619
271,214,224,233,526,4897
638,792,668,790,1535,14704
699,692,764,789,1545,12880
18636,34407,16904,13836,22392,207946
1489,1966,2010,1937,4194,33562
788,873,862,897,1814,15924
614,719,711,732,1482,13393
1724,2231,2510,2692,4742,37640
3995,7324,3888,3090,5371,52540
258530,358298,436870,416608,706495,5238541
766,1131,1285,1257,2496,19214
518,556,588,682,1275,10899
8022,14658,8114,6499,11630,104473
769,858,836,991,1943,16176
1025,1175,1186,1144,2446,19830
50009,58453,57797,60584,120281,931826
778,924,935,998,2071,17603
286,378,321,345,775,6570
1708,2088,2162,2185,3833,34164
961,1527,1461,1348,2689,21980
665,706,696,755,1553,13470
1831,2163,2376,2129,4741,39302
1612,2127,2127,2201,4652,35733
171,288,259,284,619,5226
665,775,727,787,1594,13311
2685,2939,2877,3416,7075,50333
420,394,398,484,945,8259
758,921,883,958,1962,18264
184,215,133,229,626,4161
322,369,309,328,645,6927
2618,2614,2392,2850,5834,49649
1347,1502,1455,1533,3174,28457
4512,9672,5088,3618,6001,59115
481,477,498,538,1069,9608
1542,2376,2418,2335,4713,38358
1279,1512,1175,1218,2497,22215
1025,1051,915,1002,2327,22046
611,878,880,824,1612,12899
30995,33457,30856,33743,72928,529402
6466,8145,6774,6629,13326,110801
7005,6651,6730,9878,20235,122933
2834,3844,2818,2893,5860,51374
44155,49836,37890,39900,89956,704476
5392,6817,6588,6869,12827,111151
609,1123,1111,1228,2373,16457
1563,2036,2113,2203,4228,34670
1759,2322,2185,2326,4190,36812
1578,2124,1936,1947,3874,29488
3168,5404,2033,1610,2829,31597
17718,18750,15927,17589,40178,308043
12965,21999,11402,11430,20928,173231
5504,7053,6490,6260,12237,107587
2298,2580,2428,2667,5419,45960
13037,16429,18666,17184,32379,266153
1638,2276,2341,2167,4353,38305
559,682,544,620,1271,11925
617,699,650,726,1569,13904
625,746,746,748,1828,14594
588,639,608,655,1511,12416
722,806,741,809,1828,15794
1731,1667,1650,1972,4168,33739
1324,1798,1799,1937,3504,29173
2064,2601,2143,2053,3946,34442
702,788,864,880,1680,14711
2551,2894,2718,2889,6287,51619
9489,12564,13325,12726,22422,186145
1005,1606,1419,1355,2789,21467
861,814,853,937,1955,16433
705,933,939,886,1778,15930
127,193,205,160,432,4360
296,234,312,364,599,5691
269,268,296,319,574,5771
1244,2019,2022,2461,4282,32829
707,937,888,912,1795,15953
7530,9204,9035,9310,17155,146205
13625,17216,17550,17126,33352,264433
1125,1446,1540,1458,2715,24430
9694,12086,12396,12970,24256,198134
287,328,348,372,938,7181
225,275,238,271,607,5109
1059,1164,1146,1200,2393,21906
274,296,257,257,630,5551
2029,2764,2268,2277,4924,45839
6359,7017,7863,8821,17348,134695
696,892,1087,958,1973,17267
3862,4685,4785,4779,9117,79207
521,715,673,671,1254,11568
1285,1366,808,989,2038,17429
587,735,849,790,1657,14260
696,863,897,902,1901,16569
550,741,809,826,1518,14186
2812,3088,3224,2985,6592,56823
41036,44286,38017,41801,97622,687727
2632,3889,4321,4416,8664,67477
14540,17879,17841,17757,34750,287512
2323,2312,1930,2167,4593,38942
1882,2206,2019,2051,3753,35018
19769,24964,25564,24016,45810,367747
3747,5067,5940,5259,10460,81024
431,492,466,496,989,8685
624,679,676,618,1342,12214
3297,3240,3299,3807,8664,63013
769,622,623,666,1602,15007
1068,1031,989,1035,2573,19994
2151,2389,2194,2157,4774,38248
5547,6970,7763,7989,15669,114893
1191,1492,1670,1562,3208,26375
1642,1944,1945,1897,3847,32455
542,544,538,577,1260,10598
1835,2141,2078,1874,3622,32777
2675,2778,2589,2633,6062,49564
1419,1599,1594,1590,3206,26480
2305,2544,2541,2494,5130,42524
9154,16358,6947,5876,11879,115938
2176,2533,2085,2445,5133,42379
11072,13110,12924,12784,25069,202924
1163,1359,1245,1184,2926,23426
3924,4825,4482,4740,9704,76481
809,938,839,896,1963,16620
1208,1290,1085,1204,2808,22835
874,1120,1168,1069,2390,20296
1758,2074,1889,1998,4005,33596
4380,6154,3668,3423,7211,67615
1623,1757,1718,1792,3866,32431
16140,15569,16094,21463,47360,309687
4009,4021,3881,4251,9556,72776
1896,2047,2187,2384,4786,39450
8598,9208,8652,10877,23371,158170
2417,3040,3003,2836,6137,48649
4001,4999,4884,4775,9654,82457
1989,2549,2262,2121,4386,36520
2197,2468,2576,2808,5920,43779
1956,2173,1780,1961,4096,33448
1120,1310,1149,1135,2418,21107
2022,2478,1791,1919,3984,32293
1644,1832,1567,1431,3500,27840
7766,9166,9722,9844,20775,149359
2885,3159,2132,2277,4128,37763
4323,5285,5012,4956,9130,78720
2374,2494,2281,2324,4261,38720
26470,31908,29041,30704,61076,488694
5299,7015,7186,7211,13814,110839
2275,2452,2509,2514,5472,45669
6569,8068,8116,8011,16459,129641
45845,68564,82229,73184,120538,939964
2513,2820,2470,2498,5489,46752
510,560,555,568,1186,10219
1771,2558,2301,2313,4595,36035
14583,27649,11840,9139,14629,144436
2010,2606,2137,2092,4515,38288
3668,4157,3751,3949,8357,69533
742,814,827,817,1663,14056
2607,2885,2780,2789,6073,47421
233,254,319,314,683,5911
1016,1097,1069,1086,2235,19623
979,1071,1086,1072,2380,20957
723,1013,1089,1022,2099,17062
757,1170,1236,1240,2440,19229
534,672,635,658,1445,12471
9313,11264,9715,10590,21875,167391
1310,1486,1384,1450,3018,25599
671,680,679,686,1533,12761
2611,3694,2264,2133,4370,37543
1331,1341,1392,1313,3007,25203
1587,1720,1480,1597,3408,28372
851,968,903,872,1993,16765
16126,20777,18026,16953,31754,268613
1172,1446,1372,1361,3006,23722
2124,2499,2612,2592,5384,44339
1085,1076,995,1096,2426,20610
1205,1304,1296,1243,2721,22966
2115,2523,1770,1729,3846,34459
966,1257,1380,1348,2865,20900
581,501,530,600,1283,10617
15655,33327,14615,11685,19781,186081
822,878,761,758,1795,15290
474,400,377,355,839,7225
9302,13694,13669,12259,20957,181831
828,882,807,805,1898,15644
7121,11857,7024,6632,12711,107723
2014,2188,1716,1654,3589,31848
