Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,TotalPop
419,409,374,387,713,6646
356,196,226,244,641,5755
420,390,397,494,1194,10466
73,40,62,87,70,1320
3528,6385,6020,5441,8841,81816
306,391,308,291,612,5812
673,679,811,712,1261,11895
72,89,91,50,225,1788
412,547,601,570,1064,9324
605,502,387,370,1128,9131
111,176,191,204,346,2925
428,522,617,682,1225,11327
4374,4923,5224,6072,11542,96147
6020,12427,8237,7712,13263,100733
58,77,57,73,87,1086
655,1086,907,813,1545,13677
31,17,10,22,61,747
217,64,59,128,297,3206
1035,1182,1175,1021,1774,16468
675,477,466,501,1228,11625
66,96,87,123,165,1965
1467,1499,1518,1577,3059,29518
3230,3798,3809,4539,7832,66290
117,123,126,129,179,2245
902,674,720,799,1796,19249
31,63,91,114,118,1728
256,342,352,439,765,7902
105,56,98,101,216,2000
179,257,73,197,367,4194
6268,12667,9270,8347,14045,114231
255,150,197,194,436,4766
558,772,856,1015,1899,16001
20,8,6,31,59,453
251,211,169,174,396,4139
306,311,347,343,597,6081
90,79,82,60,158,1610
288,449,443,398,968,6852
49,42,29,15,194,1325
1828,1813,1687,1998,4223,41387
694,673,743,733,1428,11405
696,798,797,728,1208,11218
540,594,515,483,1032,9292
414,422,380,490,1054,11414
122,179,134,285,334,3568
1772,3212,1927,1870,3766,34514
470,413,335,480,1054,9342
164,117,139,131,355,3646
301,292,262,321,618,6040
157,385,294,334,594,5031
45,35,59,19,59,790
305,512,415,401,802,7561
117,120,90,117,269,2108
39,53,26,57,75,1121
6926,9749,10939,10638,19259,156332
2202,2360,1840,1864,3194,31564
334,320,286,346,606,6406
11,23,14,8,42,421
39,26,31,24,84,728
24,28,15,19,44,502
255,289,260,284,486,5357
589,602,521,614,1332,11200
95,50,80,109,184,2049
111,86,161,157,299,3058
3133,5646,3374,3423,5616,48834
245,304,269,336,651,6546
449,432,352,419,867,8105
1348,1338,1165,1435,3085,25513
450,432,352,422,830,8561
170,179,180,167,475,3803
186,300,344,332,666,5792
482,481,664,686,1066,10012
285,359,319,332,623,6264
496,703,636,710,1372,10616
476,505,375,444,913,9039
564,514,528,564,1187,10836
1047,1529,1383,1397,2319,20529
1051,1087,530,465,904,8972
1288,1490,1611,1501,2714,23925
57,140,97,119,181,1901
273,326,299,260,608,5765
1865,2360,2020,2144,4382,36576
29255,36724,43835,43633,71513,549706
88,97,57,110,224,2017
244,313,260,321,525,5603
144,131,130,130,286,3019
201,178,113,105,236,2624
247,228,246,214,469,4814
888,1069,1064,1187,2492,21632
49,36,68,81,247,1913
61,143,72,97,141,1958
114,89,66,108,191,2019
48,20,36,41,48,682
141,95,109,112,232,2436
3255,3921,3825,4126,7647,61233
556,488,432,518,973,9149
149,158,142,146,331,3469
34,51,63,66,110,957
139,97,110,167,290,2860
414,485,434,558,1047,10293
21,33,32,34,43,684
279,292,291,330,745,6385
347,324,353,392,731,7276
192,439,291,397,647,5200
316,319,323,370,786,6547
291,394,328,397,809,8129
26,38,45,20,75,720
189,128,176,166,368,3688
478,381,320,388,781,8496
18667,34968,21865,21888,37159,306357
1845,1703,2004,2235,4333,35569
48,43,33,36,112,919
18,30,21,26,38,537
18,5,32,14,33,432
1800,2419,2242,2273,3947,35062
377,412,385,399,913,7829
233,208,227,294,568,4903
214,142,163,175,383,3569
544,632,404,404,662,7041
184,215,158,244,416,4318
770,934,802,876,1808,15875
91,134,119,105,260,2704
95,103,184,170,318,2904
455,490,487,539,952,9163
392,368,323,407,773,7175
1864,2020,1846,2028,3758,32875
306,266,194,246,539,5244
647,703,565,683,1176,10870
339,378,381,402,848,8045
62,103,57,36,126,1381
1156,1328,661,761,2008,14325
8915,10992,12489,13468,24782,175188
1050,1049,978,1232,2282,20953
1804,2187,2120,2210,4098,36509
1312,1404,854,942,1864,17045
251,187,205,349,470,5241
127,142,110,133,289,3048
37,79,44,109,83,1256
276,308,315,358,708,6020
196,264,200,238,489,5133
35,32,32,46,97,643
478,483,437,405,650,7055
129,244,217,244,417,4252
1193,1170,909,1179,2363,20414
1227,1161,484,468,968,9409
164,190,163,160,344,3597
37,29,39,26,100,846
833,886,794,874,1459,13832
967,1584,1586,1571,2478,24022
102388,136367,157665,156586,296106,2112436
1880,2169,2125,2404,4661,47632
3021,3381,3924,3747,6816,52377
30,72,75,42,117,1102
97,31,42,91,232,1728
997,962,1088,1131,2192,17088
160,365,435,281,624,5887
425,318,368,221,610,5203
2432,2348,2930,3113,5965,52303
122,235,227,417,355,4471
1553,1887,2083,1839,4221,43296
237,332,464,672,978,6661
154,125,156,122,408,3891
22495,30629,34542,30550,54474,445551
566,444,706,695,1323,9858
2376,3314,3413,3214,6147,54219
2751,3134,3056,3174,6647,60383
2058,2222,1921,2130,4717,47524
5647,5810,4603,4227,7849,76109
1352,1646,1723,1738,3667,32119
6070,7745,5555,5107,9213,89280
20915,26239,26406,25781,50899,406371
8301,9846,8385,8577,17647,147958
14799,17034,17121,16752,36411,302479
9222,13879,8011,7592,14538,126552
1830,2296,2212,2303,4942,43073
14286,18833,16753,15685,31777,272926
47224,54392,51611,57534,125273,937920
22036,29396,27547,26984,55747,449192
25016,32944,35250,34585,64803,510996
4343,5608,4986,4434,9006,94549
7517,10146,11363,11315,20620,154952
41248,54488,54321,54476,112893,800401
15337,19433,17939,17328,37002,291372
27246,45586,70537,72241,106722,679756
7264,7997,5220,5296,13652,125717
22947,29609,23729,23204,48693,373362
45647,56503,58029,58442,116519,837288
33786,38021,33382,32716,74277,627551
27353,29182,25570,28030,62615,498847
26150,32820,32498,31122,60978,589699
28319,36978,34792,33374,65785,510563
3167,3982,3736,3531,7534,63776
17559,18895,17012,19273,44531,333316
7527,8788,7265,7111,16821,143570
28153,35353,35195,36731,77349,557320
5723,6714,5774,5510,12559,107088
34165,46908,51467,49760,84730,674855
130,52,59,143,244,3547
4346,4520,4043,4258,7328,65454
1360,1896,1916,1880,3479,27049
528,709,604,609,1254,12522
2808,4866,4568,3926,5838,50283
211,31,47,120,259,2016
14296,23259,13952,13345,22866,213849
3074,3772,3852,3982,6487,56793
1283,1567,1404,1570,2769,28382
141,144,326,444,595,4426
11,3,2,29,32,546
325,115,267,274,462,4446
4110,4884,4960,5318,8447,69505
713,964,817,959,1808,19497
1035,705,719,1193,2061,18031
1271,1734,1429,1301,2379,24319
4662,5671,5542,4670,8317,72849
373,425,199,109,385,4605
3260,5672,4968,4342,7086,65130
461,509,185,546,748,8447
2175,2404,2284,2229,4473,39455
1407,2589,1417,1171,1947,19313
7257,7721,8100,8730,17892,138815
7021,8492,8967,8857,15406,128221
2020,2016,1738,1406,2969,28203
6591,7841,8156,8617,16995,147514
445,504,346,429,795,11254
772,1609,657,828,1904,17098
1280,1701,1502,1661,3641,32809
649,991,921,805,1725,15534
90,345,217,336,531,4216
4384,4805,4516,4401,8865,75845
20110,32481,20211,20035,34876,308580
4189,4385,2441,2360,4720,47400
80949,120168,121589,106754,184809,1455846
13388,19350,11203,10755,20007,196124
4314,5037,4273,4291,8484,78175
4061,5055,4743,4791,9072,78319
7721,8999,8024,7117,13834,130846
4385,5564,5292,5200,10276,86883
2385,2831,2680,2521,5319,48763
5340,7763,5124,4895,9575,81224
2645,3334,3339,3147,6654,61481
4038,5864,2832,2557,5041,48334
3278,2907,2251,2197,4349,45950
18579,22498,17332,16185,34440,295685
48554,65337,68596,58593,102308,923995
1770,2133,2423,2113,4304,38233
2454,3873,3623,3439,6084,51054
2381,3097,3083,3305,6360,53955
2999,3799,3508,3362,6484,58537
2326,3178,2999,2426,5323,47791
208,267,118,192,410,4646
3281,4006,3454,3390,6847,62943
5818,12066,10987,8693,13432,116567
117297,182206,249546,229717,364039,2635121
1267,1642,1545,1533,2990,26845
4994,6530,3432,3544,6781,64373
5466,6204,3700,3603,7531,71760
42712,55315,55404,48363,84486,748680
2261,3053,3070,3047,5537,49500
72818,87153,79431,76392,164284,1363069
59316,119239,199104,175239,238802,1653877
10823,13591,13364,12229,23779,212675
12370,16138,14689,13896,25811,232324
28806,33087,32380,29424,52219,467669
6014,7084,5892,5782,12074,109491
22969,28783,21249,21626,46008,378174
2021,2608,2957,2460,4692,41584
7793,9237,7462,6711,13324,119833
5278,6737,2911,2882,5713,60750
5394,5987,5130,5245,11977,99464
97207,153004,196242,186516,328686,2339280
9043,11423,11526,10343,18663,159800
23872,31212,32869,30043,61082,475948
18692,21731,19041,18358,36187,325027
8718,9852,6953,6268,12038,110817
11472,13386,13090,13645,28940,226632
8183,10520,9837,9966,18804,155239
2268,2196,1668,1591,3344,31611
861,981,1040,935,2000,18112
1437,2303,2505,2202,3935,34843
4869,5564,5453,5659,11200,97539
81123,98963,89093,83246,183911,1497595
3672,4550,4332,4663,8540,75783
2389,2832,2490,2737,5486,49322
12172,18269,7232,6204,10431,104415
9338,12330,11231,10357,21073,180129
2952,3660,3837,3559,7082,64701
2890,3965,3753,3644,7470,62183
4396,5549,4792,5017,10262,91442
52918,60139,54527,57128,126022,975321
1805,2566,2910,2658,4918,40886
1576,1966,1356,1249,2379,25083
9578,10129,9879,9113,19125,157844
1804,2198,2159,2068,4958,37159
569,617,304,432,1313,10935
1146,1818,1878,1629,3341,25531
1107,1215,1396,1390,3137,26833
932,1100,1193,1006,2379,17535
2215,2620,2146,2354,5431,47316
731,1281,1339,1149,2223,19913
1467,1838,1890,1822,4184,34130
4076,4983,5920,5824,12658,122586
10708,14931,17254,17322,33281,252268
4756,5238,5282,4799,10644,88898
10792,11204,11389,12470,29044,196716
3487,4632,4547,4098,10082,81805
500,522,425,600,1518,10336
2697,3362,3706,3599,7834,68699
953,1419,1168,1245,2637,22833
8054,9456,9036,8647,19669,156182
2869,3069,2887,3346,8354,68364
1114,1132,1182,1200,2848,27463
595,617,881,852,1602,14370
311,436,574,440,1098,10753
5386,6517,5668,4961,11282,97038
2703,3615,3454,3279,6606,56589
5006,10390,7732,6133,11300,103374
18611,35575,32092,24685,38787,332766
1130,1260,1330,1300,3260,25247
1348,1609,1836,1955,4410,35412
7731,9188,9075,9076,20678,164118
2216,2059,1648,2181,5204,41766
2780,3618,3481,3292,7307,59350
15373,21555,27747,26579,43383,300865
2704,3563,3323,2984,5857,54032
21257,24897,24259,23054,45723,368362
3281,4001,3478,3647,8384,63866
10711,12986,13580,12907,28311,214049
507,659,630,614,1233,11601
459,507,370,438,939,8607
2981,3853,3167,3310,7528,58503
969,1247,1455,1407,3014,21059
31567,38450,37732,33044,65856,517197
2619,3168,3083,2729,5726,52300
6884,8335,9699,10343,17601,128753
2580,2981,3258,3061,6781,59854
4552,5375,5382,5947,12980,112156
1710,1540,1492,1362,2684,24262
2422,3260,4934,4824,7307,52571
278,256,297,257,835,5507
8726,10107,9762,9781,22579,169798
3467,5093,2464,2398,4179,41725
9503,10541,10601,11463,27442,186308
477,471,677,472,1129,9776
2984,3788,3784,3587,7489,59805
2828,3417,3344,3284,6473,57934
3762,4444,4354,4268,10657,80504
2223,2419,2583,2444,5774,45069
1258,1649,1692,1854,3362,34160
1332,1423,1070,1089,2523,21347
1212,1168,1337,1046,2371,23227
51773,69096,87205,85629,156161,1034290
788,714,808,769,1597,15155
1286,1656,1452,1268,3284,27445
4020,4328,4839,5424,10893,94191
5076,5913,5420,5097,11240,94125
11692,21123,14954,14665,27905,219866
877,1089,1127,914,1942,20426
12299,35684,21237,14463,19059,192685
11993,17432,9779,7958,16616,141812
461,731,665,649,1264,12803
2139,2948,2654,2735,4489,39546
2855,2955,2950,3326,7578,57630
550,536,692,670,1314,13506
1885,2193,2151,1928,4930,39240
12669,23846,12948,11011,20950,176484
905,953,906,763,1937,20434
7296,8221,8274,7877,17831,142827
2252,3308,2709,2483,5590,45447
8433,9869,8851,7983,16531,134187
4115,5227,4916,4758,10931,91566
7040,9017,8515,8226,16972,138940
3130,3597,3540,3448,7607,66523
3180,3953,3494,3684,8013,63664
2070,2568,2069,2012,4387,35445
3115,3816,3707,3307,7336,60875
2019,2390,2436,2423,5436,46124
3707,4084,3772,3699,8843,72315
632,927,845,875,1611,14208
1535,1897,1560,1497,3028,33291
127,226,257,245,502,4090
14337,12659,9980,11511,32330,222095
2442,2884,2604,2445,4988,44420
55774,65562,75103,76363,157092,1023811
902,1455,825,1048,2023,20190
746,883,398,610,1544,12331
5898,11304,3108,2469,4831,53421
6513,9379,8862,7696,14787,124496
3040,3878,3472,3583,8224,68525
4124,5162,4931,4750,9599,81379
1898,2175,1874,1968,4699,37825
733,908,839,869,2053,17605
133,154,110,131,249,2368
664,680,626,586,1105,10971
367,454,422,385,630,6875
30,41,38,74,116,983
317,493,310,328,673,6651
146,194,165,179,382,3226
85,126,175,140,197,2253
4329,6317,6999,7098,11157,92372
9838,20035,15597,13571,21259,170620
110,227,155,169,323,3817
214,379,266,271,539,5041
38,107,91,122,262,2378
251,213,291,269,418,4349
122,106,108,106,242,2321
133,139,113,101,296,3389
135,158,156,165,377,3318
118,120,93,93,194,1892
5052,11404,6330,4701,6896,70130
120,60,99,124,210,2387
87,125,87,129,174,2276
60,83,168,151,250,2601
141,123,153,137,239,2457
150,194,167,193,400,4106
85,112,69,62,163,1932
240,322,289,360,660,5951
89,79,122,129,208,2680
573,836,1082,1024,1353,11679
429,403,448,518,1086,9607
362,423,488,502,845,8637
1220,1820,2412,2173,3847,30059
571,814,675,760,1204,9986
70,164,142,165,253,2971
56,69,60,72,209,1822
265,316,330,389,711,7050
156,276,295,249,330,4272
653,720,679,636,1230,11574
323,266,230,273,615,5411
80,146,152,166,281,2543
1206,1481,901,913,1626,16333
849,973,917,837,1625,14657
146,225,198,210,410,3883
48,58,87,72,85,1403
290,306,310,265,497,4420
20,21,20,38,57,674
1363,2311,2818,2356,3615,30316
69,94,91,66,199,1915
1090,1602,1301,1378,2300,21058
87,56,76,85,252,2258
497,503,454,409,858,8050
532,513,588,568,1119,10920
3820,8029,7071,5319,8029,69628
88,225,173,162,369,4089
1439,2338,3820,3063,3787,32916
1303,1578,1492,1452,3454,27926
5878,7602,6553,6176,12109,104157
3341,3955,2802,2895,5774,53299
4869,5610,5445,5461,11748,98622
8916,11878,4554,3512,6489,65563
2290,2682,2559,2494,5225,45778
2875,3897,4279,4227,8326,68889
2181,2405,2359,2451,5489,43799
23608,32523,21193,22684,45764,375702
1383,1589,1356,1334,3185,27825
2212,2441,2109,2095,4749,39005
7194,8536,7898,7538,15204,135520
10016,11828,12009,12190,25755,202166
2247,2840,2287,2390,4912,41869
4693,5717,5737,5762,12841,104584
1632,1998,2121,2023,4199,36602
1945,2470,2221,2293,4949,42231
63474,83984,86478,80819,144987,1257401
2584,2853,2610,2764,5926,51919
2252,2438,2133,2300,4680,38311
10511,9692,8049,11290,30007,193024
3560,4545,4178,4049,8128,75369
8326,9182,8750,9012,19981,151526
1341,1660,1719,1620,3578,28659
64598,92706,121438,102621,167093,1253507
2437,2406,2212,2426,4903,42296
1559,1881,1766,1859,3375,30203
5385,5458,3823,3850,9781,93895
10624,14088,11542,10229,18213,164825
1983,2229,2355,2124,4448,39414
42665,55541,63371,55999,94256,808703
4253,4890,5155,4886,8916,75508
2414,3518,1586,1634,3609,31576
784,777,754,754,1702,15397
1419,1564,1539,1556,3282,27463
2198,2441,2416,2371,5235,43031
1500,1550,1511,1496,3498,28547
3078,3135,2863,2443,4735,43808
2898,3489,3435,3460,7017,58497
1647,1874,2049,2006,4082,32624
3305,4633,3703,3259,7489,67349
4019,4858,3339,3249,6674,60945
10942,13077,13210,13291,26684,229701
3048,3415,3624,3586,7701,61057
9631,10799,9325,10336,20961,170678
2545,2544,2412,2548,5376,45323
16592,18907,16353,17076,37847,305405
22635,30845,32030,27245,50902,433404
2065,2633,2805,3025,6216,43732
10939,14879,13594,12561,26152,231857
2829,4185,4348,4358,8325,65483
8901,9497,8807,9786,22705,176362
1088,1220,1277,1291,2849,23234
2330,2397,2246,2249,4476,40723
5173,5665,5887,5954,12657,104081
645,706,694,721,1596,14239
27468,36716,36196,33718,60952,531987
730,774,740,777,1669,14773
1978,1851,1697,1883,4444,34935
4724,5770,5218,4993,9961,85933
486,625,1005,918,1351,14498
1903,1940,1825,1910,4369,40769
935,997,1121,1049,2190,18951
1789,2204,2034,2091,4434,35983
3117,3662,3672,3712,7913,57075
1407,1623,1674,1582,3499,28291
12371,18718,9523,8385,17465,162080
2255,2263,2262,2249,4931,41328
1697,2083,1712,1955,3756,34037
5662,7552,7455,7275,14470,121533
3342,4647,4940,4698,10393,77125
3022,3468,3210,3306,7157,59559
4057,4927,5049,4750,9503,76871
3546,4064,3150,3101,6447,55549
2744,2854,2755,2802,5861,48902
19704,23780,22106,21238,42867,374273
27670,34925,36436,33140,63700,541318
9578,12053,11525,10896,22790,203341
4580,5162,5168,5380,10837,92531
2751,3167,3292,3569,8380,54688
1430,1654,1469,1617,3365,28262
667,749,707,676,1739,13142
11817,11929,11960,13383,31325,223868
3255,3912,3302,3431,6916,60871
6772,7967,6929,6468,13074,115915
1772,2123,2185,2140,4417,37061
10390,16153,7915,7540,14489,129504
1063,1198,1158,1249,2754,22190
1142,1428,1298,1388,2673,22136
246,266,309,316,878,5877
569,892,875,889,1682,13899
233,322,269,271,653,5445
1027,1505,1771,1834,2961,22971
293,427,597,637,1197,9680
2415,3315,3321,2811,5134,45068
1566,1891,1956,1905,3430,29437
6711,7309,9184,10333,19053,132922
2513,2878,2997,3038,6104,48407
3217,5371,2860,2978,5289,48404
701,828,843,776,1608,14979
85,94,157,92,224,2221
16702,30422,20731,20580,34821,274024
308,318,294,261,639,5666
7583,11503,10780,9653,15066,123066
320,365,273,405,687,6000
682,788,881,853,1747,14563
3787,4117,4078,4229,8495,70899
1989,3622,2140,1893,2853,29169
1938,2179,2072,2001,4361,41878
294,216,242,260,495,4904
174,221,187,193,453,4102
2763,4305,4326,4493,7137,62421
1431,1566,1615,1733,3475,27751
3070,3025,3188,3499,6864,54351
182,228,211,229,453,4458
285,417,378,489,908,6018
153,74,185,154,346,2758
218,108,191,256,447,3843
654,713,739,728,1442,12746
667,883,966,906,1600,13519
1088,2085,1964,1712,3159,25574
392,278,319,312,715,6270
616,628,656,637,1252,11039
2523,2852,2546,2664,5090,45173
796,810,982,1063,1778,15510
401,474,505,571,976,9127
642,757,576,597,1098,10621
2647,2998,2959,2937,6137,49860
1832,1884,1858,1964,3930,34759
2836,3143,2336,3104,5663,45326
595,592,515,591,1097,9843
1967,2113,2032,2469,5148,37919
1746,2086,1858,1957,3709,33026
809,1003,922,1070,2052,19874
364,386,368,476,843,7730
719,949,838,781,1803,16226
2292,2400,2419,2398,4715,40929
554,828,775,858,1654,13797
3646,4428,4437,4521,8476,69471
569,654,646,684,1265,11421
553,571,602,585,1175,10448
632,754,702,775,1505,12160
38392,53994,63354,59479,97513,774203
2248,2703,2340,2245,4361,39121
2372,2480,2718,2743,5447,47350
2015,2130,1858,1781,3588,31725
861,840,867,887,1892,16448
7016,16166,6519,5072,7665,80634
1917,2549,3099,2834,5272,44673
2121,3202,2869,2558,4300,38289
4133,5070,4477,4519,8831,71614
482,571,578,639,1118,11132
165,237,140,240,388,3734
5000,5839,5363,5397,10988,90098
1487,1557,1360,1422,2923,25246
2209,2435,2461,2426,4975,41364
2235,2487,2604,2608,5204,44293
1425,1745,1551,1531,2742,21409
375,398,360,473,833,7591
32226,43077,47712,46184,81515,637123
3938,4195,4461,5119,10192,76830
2542,2961,3234,3284,5856,51867
550,636,680,723,1256,11550
583,1213,716,666,911,9132
1265,1325,1444,1394,2820,21140
610,753,821,970,1627,15980
7646,14370,6415,4985,8760,88249
20128,22612,23469,24188,51486,399962
1875,2205,2244,2174,4360,38021
2554,2432,2624,2744,6280,50207
2689,3278,3308,3401,6243,62921
968,884,1170,1046,2461,21717
542,971,961,903,2060,22377
7481,8940,10480,11494,23015,175321
4881,5375,5963,5714,10862,107576
68,88,62,107,171,1910
300,267,326,324,718,7209
346,338,381,343,804,7195
1114,1417,1452,1432,2966,22938
9981,12217,13113,12840,24297,212070
1368,1096,1423,1263,2651,22707
3972,4119,4382,4002,8788,84514
3288,3974,4220,3621,7250,66018
238,391,397,438,824,7807
20464,35346,23456,22683,42341,363471
1731,2146,2258,2437,4593,47307
5759,7261,8038,7509,14484,121074
1654,2231,2045,2032,3697,30421
18419,22591,22914,22120,41489,330453
740,656,544,549,1381,11153
31163,49674,71959,74897,127271,788459
5474,7045,4440,4626,9018,79666
43,69,94,59,197,1635
951,1317,1355,1404,2667,25840
4102,5247,5343,4999,9576,76736
1439,2099,1426,1571,2756,25810
214,181,363,361,631,6864
1308,1360,1630,1509,2944,25687
27826,34418,42490,45765,86048,572071
42,65,87,35,86,1415
6039,7272,6076,6547,12873,102366
5772,6741,5469,5238,11355,101589
60440,80219,97814,86612,140479,1229605
2959,3516,3484,3594,7629,66737
7231,9583,9643,9755,18630,168161
2266,2544,2414,2425,5554,48891
24090,28405,25462,24115,48811,415500
5973,7521,7657,6980,14446,124736
2691,3312,3311,3250,6528,61546
31514,36135,33762,34835,73809,626486
10386,10938,10235,10267,22134,185984
6988,8749,7116,6909,14988,135871
232,231,209,211,457,4754
2705,3240,3380,3528,7493,63987
15096,28029,13192,9401,16664,160646
29234,32106,28975,29438,63858,514652
2463,3671,2452,1893,4126,38747
3474,4889,4779,4570,10358,80539
2793,4170,2160,2008,4179,39321
4834,7328,3488,3325,7150,66615
4736,5542,4780,4674,9488,86847
13435,16522,16066,15791,29876,245801
13056,17077,18879,18212,32806,273329
33581,39880,36381,35629,66577,563384
1351,1566,1433,1582,3340,30781
16009,19939,19258,16886,31206,277794
5896,7646,7859,7489,15765,133160
192,585,938,826,1214,7388
7882,8339,9067,8790,18631,153003
664,795,750,782,1704,14631
1980,2514,2347,2243,4635,37338
2437,3065,2925,2575,5537,45686
6461,10112,4358,4486,8552,86551
2043,2532,2547,2449,4884,44258
1173,1320,1375,1354,2799,24448
11137,13780,13618,12539,23946,211960
28953,35344,35732,32731,60958,536494
4326,5395,4599,4607,9701,88231
6848,8382,7729,8079,16042,137616
19318,23762,23074,23206,44742,360774
15569,21022,20227,18490,37091,318222
6116,7789,7878,6968,12899,115398
2386,2713,2441,2398,5243,42070
6759,7928,5693,5783,12141,113623
2163,2497,2608,2535,5012,46452
11251,12629,9406,8124,18397,167306
40540,47008,49131,52643,102243,818677
809,866,1193,1267,2057,18302
17016,20648,17604,17180,35494,300941
4033,5124,5591,5414,10909,93038
2153,2626,2635,2583,5463,45878
82171,125742,158342,129531,192104,1569657
3073,3124,2480,2388,6173,55687
764,936,814,834,1718,17070
6071,7737,8186,8660,18205,144287
2791,3165,2364,2113,4507,40570
3123,4155,4310,4211,9136,75619
325,351,278,263,608,6192
1930,2195,2037,2099,4336,41716
2249,2682,2429,2205,4397,41550
3821,3634,2677,2851,5844,45056
2415,2839,2668,2760,5771,52880
1832,2143,2009,2068,4309,40345
10839,12463,11254,11222,23980,207661
2234,2724,2676,2905,5761,51656
16393,20406,17974,18601,39402,356835
1466,1740,1530,1498,3102,27760
22387,26410,26534,26924,54428,442216
3310,3490,2595,2291,5197,49028
7104,9061,10419,10338,20186,164012
4204,5691,5062,4724,9286,83204
36741,50902,49712,44086,77489,633704
9787,11778,5896,5424,12353,126190
1401,1672,1290,1115,2787,24788
8067,10015,10703,10189,19120,165707
426,651,510,691,1168,9402
9904,11703,11643,11143,23699,194174
885,1310,783,592,1788,14842
1174,1510,1154,1137,2465,21788
8410,12408,10936,9883,18332,179316
10643,14989,15264,14688,26892,204632
673,869,800,704,1695,14808
17923,27098,35254,31600,48603,387847
3215,3813,3711,3151,6972,56549
1510,1956,1919,1693,3649,32424
2340,2941,2623,2570,5612,46127
1638,2570,1984,1774,3494,34156
1778,2342,2305,1978,4225,37581
3540,4429,3988,3536,8046,67572
1425,2057,1970,1909,3620,31073
8339,9085,10594,10534,20673,151716
1330,1680,1490,1759,3597,26620
1130,1377,1221,1085,2565,22868
6833,9354,9134,8402,17347,138537
2862,3004,2861,2832,6294,61065
24731,32355,34092,32919,64194,490332
4014,4768,4527,4073,8257,69981
973,1198,1258,1321,2568,20066
13655,17635,19790,17890,35860,310186
1272,1551,2171,1990,3175,27465
3221,3572,3722,3496,7623,63734
3624,4594,4952,5281,11538,86544
3570,4615,4013,3590,7712,66508
832,1336,1240,1073,2040,17897
13489,16713,19001,18584,37098,281870
250,410,578,527,984,9694
1444,1895,2006,1682,3627,31765
1426,1734,1892,1984,3719,27505
2241,2519,2238,1903,4360,37914
3352,4483,4244,4147,8144,75926
5248,6951,5689,4787,9038,89116
9796,14835,7736,6393,13223,121449
32714,42999,31420,28334,49816,404869
1245,979,1184,1161,2602,20228
15645,20439,20191,17939,36522,297732
5991,8733,7791,6698,12083,107379
1275,1635,1596,1382,3266,27772
1632,2049,1928,1916,3709,32256
13617,15331,15327,15763,34955,251664
167,163,142,153,271,2739
748,899,1263,1274,1816,18163
243,200,263,178,372,3440
284,486,470,425,821,6972
3559,6292,2486,2035,3203,33697
2196,2829,2605,2568,4277,38637
223,312,279,304,537,5280
153,160,124,120,233,2048
476,512,562,688,1033,10194
47,30,71,56,103,1443
610,532,450,488,899,9319
165,235,216,191,321,3642
1801,2973,1107,697,1206,13907
1359,1797,1877,1730,3267,27963
265,258,261,247,426,4177
350,266,330,433,729,8519
989,1431,1384,1128,2298,19753
169,275,263,297,506,5524
165,226,187,240,459,4282
333,421,363,334,598,5709
56,172,139,115,258,2940
236,198,192,193,387,3971
301,305,266,301,616,6783
59,154,115,112,209,2327
399,368,321,330,897,7133
139,192,162,200,462,4209
58,105,67,130,192,2084
316,336,298,304,617,5911
148,164,176,167,297,3303
215,157,137,179,411,3404
91,57,90,112,107,1281
856,866,1262,1317,2021,17572
372,420,333,340,723,7277
76,59,52,60,121,1373
217,277,153,204,257,3275
52,69,82,126,197,2034
19,22,33,23,87,740
202,228,227,287,515,5000
787,888,562,652,1135,12350
1474,2319,1532,1446,2527,25018
2198,2780,3659,4477,7987,53147
218,250,222,238,433,3882
271,273,250,302,587,5515
88,127,91,105,179,2366
243,224,298,293,453,4759
1164,2336,1930,1819,3384,27066
